Log file: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_moons_ablation_20260402_215247.log

===== Moons Width Ablation: h = 2 =====
Epoch 40, Train Loss: 0.3058, Train Acc: 0.8625, Val Loss: 0.2296, Val Acc: 0.8750
Epoch 50, Train Loss: 0.3016, Train Acc: 0.8625, Val Loss: 0.2247, Val Acc: 0.8750
Epoch 60, Train Loss: 0.2997, Train Acc: 0.8625, Val Loss: 0.2219, Val Acc: 0.8750
Epoch 70, Train Loss: 0.2987, Train Acc: 0.8625, Val Loss: 0.2205, Val Acc: 0.8750
Epoch 80, Train Loss: 0.2982, Train Acc: 0.8625, Val Loss: 0.2194, Val Acc: 0.8750
Epoch 90, Train Loss: 0.2978, Train Acc: 0.8625, Val Loss: 0.2189, Val Acc: 0.8750
Epoch 100, Train Loss: 0.2974, Train Acc: 0.8625, Val Loss: 0.2181, Val Acc: 0.8875
Epoch 110, Train Loss: 0.2971, Train Acc: 0.8625, Val Loss: 0.2178, Val Acc: 0.8750
Epoch 120, Train Loss: 0.2968, Train Acc: 0.8625, Val Loss: 0.2174, Val Acc: 0.8750
Epoch 130, Train Loss: 0.2964, Train Acc: 0.8625, Val Loss: 0.2168, Val Acc: 0.8750
Epoch 140, Train Loss: 0.2960, Train Acc: 0.8667, Val Loss: 0.2161, Val Acc: 0.8875
Epoch 150, Train Loss: 0.2955, Train Acc: 0.8667, Val Loss: 0.2157, Val Acc: 0.8875
Epoch 160, Train Loss: 0.2949, Train Acc: 0.8667, Val Loss: 0.2152, Val Acc: 0.8750
Epoch 170, Train Loss: 0.2943, Train Acc: 0.8667, Val Loss: 0.2138, Val Acc: 0.8875
Epoch 180, Train Loss: 0.2931, Train Acc: 0.8750, Val Loss: 0.2135, Val Acc: 0.8750
Epoch 190, Train Loss: 0.2917, Train Acc: 0.8708, Val Loss: 0.2120, Val Acc: 0.8875
Epoch 200, Train Loss: 0.2899, Train Acc: 0.8708, Val Loss: 0.2103, Val Acc: 0.8875
Epoch 210, Train Loss: 0.2875, Train Acc: 0.8792, Val Loss: 0.2089, Val Acc: 0.8875
Epoch 220, Train Loss: 0.2843, Train Acc: 0.8792, Val Loss: 0.2062, Val Acc: 0.8875
Epoch 230, Train Loss: 0.2800, Train Acc: 0.8792, Val Loss: 0.2037, Val Acc: 0.9000
Epoch 240, Train Loss: 0.2749, Train Acc: 0.8792, Val Loss: 0.1998, Val Acc: 0.8875
Epoch 250, Train Loss: 0.2681, Train Acc: 0.8792, Val Loss: 0.1961, Val Acc: 0.9000
Epoch 260, Train Loss: 0.2606, Train Acc: 0.8792, Val Loss: 0.1915, Val Acc: 0.9000
Epoch 270, Train Loss: 0.2521, Train Acc: 0.8833, Val Loss: 0.1859, Val Acc: 0.9000
Epoch 280, Train Loss: 0.2432, Train Acc: 0.8917, Val Loss: 0.1797, Val Acc: 0.9125
Epoch 290, Train Loss: 0.2339, Train Acc: 0.8917, Val Loss: 0.1738, Val Acc: 0.9250
Epoch 300, Train Loss: 0.2247, Train Acc: 0.8917, Val Loss: 0.1680, Val Acc: 0.9250
Epoch 310, Train Loss: 0.2159, Train Acc: 0.8958, Val Loss: 0.1631, Val Acc: 0.9250
Epoch 320, Train Loss: 0.2068, Train Acc: 0.8917, Val Loss: 0.1559, Val Acc: 0.9250
Epoch 330, Train Loss: 0.1990, Train Acc: 0.9125, Val Loss: 0.1517, Val Acc: 0.9500
Epoch 340, Train Loss: 0.1909, Train Acc: 0.9167, Val Loss: 0.1455, Val Acc: 0.9500
Epoch 350, Train Loss: 0.1836, Train Acc: 0.9125, Val Loss: 0.1399, Val Acc: 0.9500
Epoch 360, Train Loss: 0.1770, Train Acc: 0.9208, Val Loss: 0.1352, Val Acc: 0.9625
Epoch 370, Train Loss: 0.1708, Train Acc: 0.9250, Val Loss: 0.1311, Val Acc: 0.9750
